사업장명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업종구분소분류,도,시,로
둥이네고깃집,영업,제주특별자치도 제주시 삼도일동 583-8,"제주특별자치도 제주시 도남로 14-1, 1층 (삼도일동)",63187.0,정종/대포집/소주방,제주특별자치도,제주시,도남로
블랙넥타르,영업,제주특별자치도 제주시 용담일동 236-2번지,"제주특별자치도 제주시 남성로 104-1, 102호 (용담일동)",63173.0,기타,제주특별자치도,제주시,남성로
바다와자전거,영업,제주특별자치도 제주시 애월읍 고내리 1123-1,"제주특별자치도 제주시 애월읍 고내로9길 42, 101호",63045.0,기타,제주특별자치도,제주시,애월읍
자유의지,영업,제주특별자치도 제주시 삼도이동 20-5,"제주특별자치도 제주시 북성로 7, 1층 (삼도이동)",63166.0,한식,제주특별자치도,제주시,북성로
주파수,영업,제주특별자치도 제주시 이도이동 1049-7번지,"제주특별자치도 제주시 오복5길 5, 101호 (이도이동)",63211.0,기타,제주특별자치도,제주시,오복5길
원당해장국,영업,제주특별자치도 제주시 삼양일동 1665-6번지,"제주특별자치도 제주시 원당로 17, 1층 (삼양일동)",63318.0,한식,제주특별자치도,제주시,원당로
붕발효음식연구소,영업,제주특별자치도 제주시 한림읍 수원리 587번지,"제주특별자치도 제주시 한림읍 수원5길 46, 1층",63023.0,한식,제주특별자치도,제주시,한림읍
육장갈비삼도점,영업,제주특별자치도 제주시 삼도일동 535-12번지,제주특별자치도 제주시 서사로 131-1 (삼도일동),63182.0,호프/통닭,제주특별자치도,제주시,서사로
큰맘할매순대국 제주한라대점,영업,제주특별자치도 제주시 노형동 756-5,"제주특별자치도 제주시 한라대학로 71, 101호 (노형동, 경주주택)",63089.0,한식,제주특별자치도,제주시,한라대학로
비너스뭉티기,영업,제주특별자치도 제주시 연동 293-88,"제주특별자치도 제주시 은남4길 5, 101호 (연동)",63123.0,패스트푸드,제주특별자치도,제주시,은남4길
돌핀,영업,제주특별자치도 제주시 삼양일동 1620,"제주특별자치도 제주시 서흘길 1, 2층 (삼양일동)",63314.0,까페,제주특별자치도,제주시,서흘길
공육이육,영업,제주특별자치도 제주시 조천읍 와흘리 1913-13번지,제주특별자치도 제주시 조천읍 와흘상서1길 4,63344.0,한식,제주특별자치도,제주시,조천읍
델문도,영업,제주특별자치도 제주시 조천읍 함덕리 1008-1,"제주특별자치도 제주시 조천읍 조함해안로 519-10, 지하1~1층",63333.0,까페,제주특별자치도,제주시,조천읍
더허그스테이크하우스,영업,제주특별자치도 제주시 애월읍 광령리 2578,"제주특별자치도 제주시 애월읍 평화로 2727, 1층 제1호",63063.0,경양식,제주특별자치도,제주시,애월읍
